 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              2,         1,           0,          1,             0,               0,              0,         1,           0,          1
 1,             0,               0,              0,         1,           0,          0,             0,               0,              0,         1,           0,          1
 2,             2,               0,              1,         4,           2,          2,             1,               1,              2,        10,           2,          3
 3,             4,               0,              1,         8,           5,          3,             3,               2,              1,        22,           5,          4
 4,             8,               1,              2,         9,           5,          3,             6,               3,              2,        32,           8,          6
 5,            17,               5,              2,        19,           5,          4,            10,               4,              4,        47,          12,          7
 6,            27,               9,              3,        16,           5,          4,            15,               5,              3,        60,          16,         27
 7,            31,              10,              3,        19,          10,          4,            21,               6,              3,        73,          20,         20
 8,            35,              11,              4,        27,          17,          5,            28,               7,             10,        84,          24,         10
 9,            41,              13,              4,        31,          19,          5,            36,               8,              3,       102,          29,         10
10,            43,              13,              5,        38,          26,          5,            45,               9,              3,       118,          34,         13
